"SID","lat","lon","elev","name"
2120,66.8878,18.0178,315,"KVIKKJOKK-ARRENJARKA"
2121,66.6817,16.1089,615.4,"MIERKENIS"
2123,66.3242,17.0944,552,"JAKKVIK"
2124,66.0514,17.8397,432.21,"ARJEPLOG"
2126,65.0094,17.6994,277.4,"GUNNARN A"
2128,65.0106,17.6803,283,"GUNNARN"
2130,66.4861,16.4172,481,"ROPARUDDEN"
2135,65.5594,17.8603,393.06,"BURESJON"
2141,66.3,19.2,582.6,"TJAKAAPE"
2146,66.505,19.675,324,"VAJMAT"
2147,65.1522,18.5975,362.98,"MALA-BRANNAN"
2149,65.5953,19.2683,383.59,"ARVIDSJAUR"
2151,66.4833,20.1667,275,"JOKKMOKK FPL"
2154,65.8678,20.1542,182,"VIDSEL"
2159,65.12,20.77,195,"FALLFORS"
2161,66.7531,20.9283,327.45,"NATTAVAARA"
2170,65.7528,21.765,12,"SAVAST"
2171,65.8083,21.6344,26.8,"BODEN"
2173,65.6703,21.0664,43.22,"ALVSBYN"
2174,66.2803,21.1331,186.11,"LAKATRASK"
2176,65.0353,21.5656,4.03,"PITE-RONNSKAR"
2181,66.2631,22.8475,61.99,"OVERKALIX-SVARTBYN"
2183,65.5436,22.1114,32,"LULEA, SOL"
2184,66.8106,22.3364,228.71,"PAHAROVA"
2185,65.5433,22.1144,34,"LULEA-KALLAX"
2186,65.5444,22.1281,17,"LULEA-KALLAX"
2188,65.3131,22.3756,1.78,"RODKALLEN"
2191,65.6983,23.1008,3.61,"STORON"
2196,65.8333,24.1,6,"HAPARANDA"
2197,65.8236,24.1114,15.1,"HAPARANDA A"
2199,66.6236,23.4681,132.21,"YLINENJARVI"
2206,63.2833,12.1333,583,"STORLIEN-STORVALLEN"
2207,63.2828,12.1219,585,"STORLIEN-STORVALLEN A"
2209,63.0447,12.2778,1030.11,"SYLARNA"
2210,63.1864,12.1761,1090,"BLAHAMMAREN A"
2216,63.3056,13.8767,355,"MATTMAR"
2217,63.3736,13.1606,435,"ARE"
2219,64.5044,14.2208,555.1,"GADDEDE A"
2221,63.8397,13.5039,716.8,"KORSVATTNET"
2222,64.5,14.1667,330,"GADDEDE"
2226,63.1956,14.5003,359.2,"OSTERSUND FROSON"
2229,63.1969,14.4797,374,"OSTERSUND, SOL"
2230,64.2183,15.5564,309.95,"GUBBHOGEN"
2231,63.6772,14.6081,361.75,"FOLLINGE"
2233,64.9678,15.3792,545,"SAXNAS"
2236,63.7694,15.3311,376.53,"HALLHAXASEN"
2242,64.0886,16.2389,241.23,"HOTING"
2243,63.6839,16.95,220.6,"JUNSELE"
2244,63.6833,16.95,217,"JUNSELE"
2245,64.5811,16.8422,349.3,"VILHELMINA"
2247,63.1522,16.1733,184.11,"KRANGEDE"
2254,64.1661,17.3189,308.5,"ASELE"
2256,64.7344,17.4033,575,"RISTRASK"
2260,63.1253,18.2556,142.74,"VASTMARKUM"
2261,64.5494,18.7169,211.08,"LYCKSELE"
2263,64.0756,18.3656,327.41,"FREDRIKA"
2265,63.6514,18.5503,183.45,"HEMLING"
2267,63.4117,18.9797,100,"ORNSKOLDSVIK"
2269,63.1886,19.0206,11.39,"SKAGSUDDE"
2271,64.9264,19.3786,310.5,"NORSJO"
2282,64.5669,19.6986,258.03,"PETISTRASK"
2283,63.8111,20.2397,22,"UMEA, SOL"
2284,63.4361,19.6769,7.21,"JARNASKLUBB"
2286,63.8,20.2833,7.7,"UMEA"
2287,63.8069,20.8644,7.9,"HOLMON"
2288,63.6,20.75,6,"HOLMOGADD"
2292,64.4358,21.28,105,"HOKMARKSBERGET"
2293,64.6247,21.0769,43.95,"SKELLEFTEA"
2297,64.4814,21.5792,36.77,"BJUROKLUBB"
2302,61.84,12.2872,664.7,"STORBO/IDRE"
2303,62.7292,12.7264,995,"FLATRUET"
2307,61.8894,12.8544,868.66,"IDRE FJALL"
2308,62.4503,12.6703,724.3,"TANNAS"
2311,61.1581,13.1139,744,"HOGFJALLSHOTELLET"
2316,61.6912,13.1865,425,""
2317,62.0944,13.6117,566.34,"DRAVAGEN"
2319,62.7558,13.8458,466.94,"BORTNAN"
2321,61.2544,14.0386,252.96,"ALVDALEN"
2324,62.0192,14.1906,363,"SVEG"
2325,62.4961,14.1572,802.88,"KLOVSJOHOJDEN"
2327,62.0461,14.4069,359.3,"SVEG A"
2329,61.6606,14.995,455.13,"HAMRA"
2331,62.7514,15.0878,343.19,"HUNGE"
2337,62.2631,15.6708,320,"NORRHOG"
2338,61.3614,15.7178,184.99,"EDSBYN"
2343,62.4944,16.2775,100.21,"TORPSHAMMAR"
2347,61.8272,16.5419,71.92,"DELSBO"
2349,62.7628,16.7392,205,"SILLRE"
2354,62.4306,17.3447,80,"RASTA"
2355,61.7033,17.5253,10.08,"KUGGOREN"
2365,62.5317,17.4361,3.9,"SUNDSVALL HARNOSAND"
2366,62.5228,17.4494,8.5,"SUNDSVALL HARNOSAND"
2368,62.2208,17.7428,17.66,"BRAMON"
2378,61.2614,17.0983,27,"SODERHAMN FLYGPLATS"
2382,62.6431,18.0931,17.82,"LUNGO"
2403,58.6994,13.1111,53.02,"NAVEN"
2407,60.6764,13.7072,304.5,"MALUNG A"
2408,59.2219,12.0781,171.24,"BLOMSKOG"
2410,60.6814,13.6997,308,"MALUNG"
2411,59.6747,12.6381,67.09,"ARVIKA"
2413,60.7569,12.7722,205,"BRATTMON"
2417,58.75,13.15,50,"PALGRUNDEN"
2418,59.4447,13.3375,99.5,"KARLSTAD FLYGPLATS"
2419,59.3592,13.4719,46,"KARLSTAD, SOL"
2423,59.8644,13.1194,109.1,"SUNNE"
2426,60.1539,13.8019,188.46,"GUSTAVSFORS"
2429,59.6619,14.1831,133.39,"DAGLOSEN"
2431,59.8703,15.2522,284.3,"KLOTEN"
2432,59.2289,15.0456,53,"OREBRO"
2435,60.4292,15.5008,149.9,"BORLANGE"
2440,60.9622,16.4311,161.82,"AMOT"
2441,60.9608,14.5072,197.02,"MORA"
2443,59.65,17.1167,26,"ENKOPING"
2449,59.3825,16.4522,12.4,"ESKILSTUNA"
2450,60.7306,17.5614,3.93,"EGGEGRUND"
2452,59.2994,14.8986,218.85,"KILSBERGEN-SUTTARBODA"
2453,60.7169,17.1642,16.19,"GAVLE"
2456,60.2358,17.9044,34.57,"FILM"
2458,59.9008,17.5958,21,"UPPSALA"
2460,59.6264,17.9508,27.6,"STOCKHOLM-ARLANDA"
2462,59.8667,17.6333,13,"UPPSALA UNIVERSITY"
2464,59.3653,17.8978,13.6,"STOCKHOLM/BROMMA"
2468,60.3822,15.1406,492.58,"STORA SPANSBERGET"
2469,59.1789,17.9128,44.68,"TULLINGE"
2472,60.1228,15.1228,240,"SKEPPMORA"
2476,59.0564,16.3978,33,"FLODA"
2481,59.9097,16.6878,58.11,"SALA"
2482,60.2689,16.9772,57.13,"KERSTINBO"
2483,59.3533,18.0633,30,"STOCKHOLM, SOL"
2484,59.35,18.0667,44,"STOCKHOLM/OBSERVATORIET"
2485,59.35,18.0667,52,"STOCKHOLM"
2486,59.3583,17.5244,6.31,"ADELSO"
2487,59.2997,18.7047,17.58,"STAVSNAS"
2488,60.5261,18.3767,9.49,"ORSKAR"
2489,59.0678,18.1089,6,"BERGA"
2490,59.8322,18.6347,16.22,"SVANBERGA"
2492,59.4422,19.5019,10,"SVENSKA HOGARNA, SOL"
2493,59.7536,19.4089,14.83,"SODERARM"
2496,59.4444,19.5058,12,"SVENSKA HOGARNA"
2498,59.4422,19.5022,13.6,"SVENSKA HOGARNA A"
2499,59.15,19.13,25,"ALMAGRUNDET"
2500,58.8919,11.0039,34.6,"NORDKOSTER"
2501,58.5761,11.0661,23.6,"VADEROARNA"
2503,58.8919,11.0039,33,"NORDKOSTER, SOL"
2505,58.0942,11.3336,15.74,"MASESKAR"
2507,58.6608,11.4178,80,"HUD"
2512,57.7833,11.8833,16,"GOTEBORG/SAVE"
2513,57.7156,11.9925,3.4,"GOTEBORG"
2515,58.1997,12.1542,20,"TORPABRON"
2516,57.6322,11.6047,19,"VINGA"
2517,57.6,11.63,26,"TRUBADUREN"
2518,57.3039,11.9064,1.7,"NIDINGEN"
2520,58.4289,12.7139,54,"SATENAS"
2521,58.6003,12.4131,55,"BERGARUD"
2526,57.6761,12.2919,155.2,"GOTEBORG-LANDVETTER"
2527,57.6572,12.2911,164,"GOTEBORG/LANDVETTER"
2531,57.6878,11.9794,94,"GOTEBORG, SOL"
2536,57.785,13.1669,298.75,"RANGEDALA"
2539,57.1136,12.7758,122.28,"ULLARED"
2540,58.6069,12.1975,173.71,"KROPPEFJALL-GRANAN"
2542,58.3222,13.0406,71.33,"HALLUM"
2544,58.5136,14.5072,93.5,"KARLSBORG"
